SectionName,BuildingName,CampusLocation
CHML-102-04,WALS,MC
CHML-302-01,WALS,MC
CHML-302-03,WALS,MC
CHML-402-01,DELA,MC
COM-102-01,MUPB,MC
COM-500-71L01,,SBUOL
COM-520-71L01,,SBUOL
COM-555-72L01,,SBUOL
COM-580-72L01,,SBUOL
COM-590-71L01,,SBUOL
COM-620-72L01,,SBUOL
COM-640-71L01,,SBUOL
CRM-101-01,PLAS,MC
CRM-101-02,PLAS,MC
CRM-209-01,PLAS,MC
CRM-220-01,,OL
CRM-409-01,PLAS,MC
CRM-420A-01,PLAS,MC
CRM-420L-01,PLAS,MC
CRM-420M-01,PLAS,MC
CS-131-01,LIBR,MC
CS-132-01,WALS,MC
CS-243-01,WALS,MC
CS-254-01,WALS,MC
CS-258-01,WALS,MC
CS-390-01,WALS,MC
CS-402-01,WALS,MC
CS-491-01,,MC
CS-492-55,,MC
CSL-131-01,LIBR,MC
CSL-132-01,WALS,MC
CSL-243-01,WALS,MC
CSL-254-01,WALS,MC
CSL-254-55,,MC
CSL-258-01,WALS,MC
CSL-390-01,WALS,MC
CULT-102-01,PLAS,MC
CULT-102-02,PLAS,MC
CYB-202-01,WALS,MC
CYB-354-01,WALS,MC
CYB-411-01,WALS,MC
CYB-491-01,,MC
CYB-501-72L01,,SBUOL
CYB-512-71L01,,SBUOL
CYB-515-71L01,,SBUOL
CYB-516-72L01,,SBUOL
CYB-518-71L01,,SBUOL
CYB-526-72L01,,SBUOL
CYBL-354-01,WALS,MC
CYBL-354-55,,MC
CYBL-411-01,WALS,MC
CYBL-411-55,,MC
ECED-240-01,LIBR,MC
ECED-420-01,LIBR,MC
ECO-101-01,WALS,MC
ECO-101-02,WALS,MC
ECO-102-01,SWAN,MC
ECO-102-02,SWAN,MC
ECO-102-03,SWAN,MC
ECO-308-01,SWAN,MC
ECO-313-01,SWAN,MC
ECO-313-55,,MC
ECO-490-55,,MC
ED/ECED-490-01,,MC
ED/SPED-491-01,,MC
EDL-522-F1L01,,OL
EDL-599C-F1L01,,OL
EDL-620-F1L01,,OL
EDL-698A-F1L01,,OL
EDL-698B-F1L01,,OL
EDL-698C-F1L01,,OL
EDUC-099A-WKSP1,PLAS,MC
EDUC-099A-WKSP2,PLAS,MC
EDUC-099B-WKSP1,PLAS,MC
EDUC-099B-WKSP2,PLAS,MC
EDUC-099D-WKSP1,,OL
EDUC-099D-WKSP2,,OL
EDUC-099F-WKSP1,PLAS,MC
EDUC-099F-WKSP2,PLAS,MC
EDUC-101-01,DELA,MC
EDUC-101-02,PLAS,MC
EDUC-210-01,PLAS,MC
EDUC-210-02,PLAS,MC
EDUC-212-01,PLAS,MC
EDUC-212-02,PLAS,MC
EDUC-214-01,PLAS,MC
EDUC-250-01,PLAS,MC
EDUC-270-01,PLAS,MC
EDUC-304-01,PLAS,MC
EDUC-310-01,PLAS,MC
EDUC-312X-01,PLAS,MC
EDUC-401-01,PLAS,MC
EDUC-425-01,PLAS,MC
EDUC-430-01,PLAS,MC
EDUC-432-55,,MC
EDUC-432-56,,MC
EDUC-490-01,,MC
EDUC-491-01,,MC
EDUC-499-01,,OL
EDUC-499-02,,OL
EDUC-500-F1L01,,OL
EDUC-505-71L01,,OL
EDUC-599A-WKSP1,,SBUOL
EDUC-599B-WKSP1,,SBUOL
EDUC-599D-WKSP1,WALS,MC
EDUC-599J-WKSP1,,SBUOL
EDUC-615-F1L01,,OL
ENG-101-01,PLAS,MC
ENG-101-02,PLAS,MC
ENG-101-03,PLAS,MC
ENG-101-04,WALS,MC
ENG-101-05,PLAS,MC
ENG-101-06,WALS,MC
ENG-101-07,PLAS,MC
ENG-102-01,MUPB,MC
ENG-102-02,MUPB,MC
ENG-102-03,PLAS,MC
ENG-102-04,PLAS,MC
ENG-102-05,MUPB,MC
ENG-102-06,PLAS,MC
ENG-102-07,PLAS,MC
ENG-102-08,PLAS,MC
ENG-102-09,DELA,MC
ENG-102-10,PLAS,MC
ENG-102-11,PLAS,MC
ENG-102-12,DELA,MC
ENG-102-13,DELA,MC
ENG-102-14,PLAS,MC
ENG-102-15,PLAS,MC
ENG-102-16,PLAS,MC
ENG-204-01,PLAS,MC
ENG-213-01,PLAS,MC
ENG-213-02,PLAS,MC
ENG-221-01,PLAS,MC
ENG-221-02,PLAS,MC
ENG-250-01,PLAS,MC
ENG-260-01,MUPB,MC
ENG-260-02,MUPB,MC
ENG-275-01,MUPB,MC
ENG-328-55,,MC
ENG-329-01,MUPB,MC
ENG-350-01,PLAS,MC
ENG-351-01,PLAS,MC
ENG-380-01,PLAS,MC
ENG-423-01,PLAS,MC
ENG-491-01,,MC
ENG-498A-01,,MC
ENG-COMPS-UG,,MC
ENV-242FE-01,DELA,MC
ENV-320-01,DELA,MC
ENV-401A-01,DELA,MC
FIN-210-01,SWAN,MC
FIN-301-01,SWAN,MC
FIN-301-02,SWAN,MC
FIN-301-03,SWAN,MC
FIN-322-01,SWAN,MC
FIN-322-02,SWAN,MC
FIN-402-01,SWAN,MC
FIN-402-55,,MC
FIN-410-01,SWAN,MC
FIN-420-01,SWAN,MC
FIN-421-01,SWAN,MC
FIN-421-02,SWAN,MC
FIN-499L-71H01,,MC
FREN-102-01,PLAS,MC
FREN-202-01,WALS,MC
FREN-202-55,,MC
FRES-101-01,PLAS,MC
FRES-101-02,PLAS,MC
HEOP-SS04-01,PLAS,MC
HIST-102-01,PLAS,MC
HIST-102-02,PLAS,MC
HIST-202-01,PLAS,MC
HIST-202-02,PLAS,MC
HIST-202-03,PLAS,MC
HIST-251-01,PLAS,MC
HIST-251-02,PLAS,MC
HIST-327-01,PLAS,MC
HIST-394C-01,PLAS,MC
HIST-394W-01,PLAS,MC
HIST-419-01,LIBR,MC
HIST-450-01,LIBR,MC
HIST-492A-01,PLAS,MC
HIST-494S-01,PLAS,MC
HON-102-01,WALS,MC
HON-299AA-01,DELA,MC
HON-299E-01,DELA,MC
HON-299P-01,PLAS,MC
HON-300-01,,MC
HON-498-01,,MC
HON-499-01,,MC
HS-102-01,,OL
HS-107-01,FRHA,MC
HS-107-02,FRHA,MC
HS-201-01,FRHA,MC
HS-201-55,,MC
HS-314-01,RECE,MC
HS-401-01,FRHA,MC
HS-413-01,,MC
HSOC-401-01,DELA,MC
IMP-201-01,DELA,MC
IMP-401-01,,MC
IS-350-01,PLAS,MC
IS-491-01,,MC
ITAL-102-01,MUPB,MC
ITAL-202-01,MUPB,MC
JMC-101-01,MUPB,MC
JMC-110-01,MUPB,MC
JMC-110-55,,MC
JMC-111-01,MUPB,MC
JMC-111-02,MUPB,MC
JMC-111-03,MUPB,MC
JMC-111-04,MUPB,MC
JMC-111-05,MUPB,MC
JMC-201-01,MUPB,MC
JMC-202-01,MUPB,MC
JMC-202-02,MUPB,MC
JMC-245-01,MUPB,MC
JMC-263-01,MUPB,MC
JMC-300-01,MUPB,MC
JMC-340-01,MUPB,MC
JMC-341-01,MUPB,MC
JMC-342-01,MUPB,MC
JMC-345-01,MUPB,MC
JMC-399-01,MUPB,MC
JMC-401AC-01,,OL
JMC-401CR-55,,MC
JMC-401X-55,,MC
JMC-411-55,,MC
JMC-412-01,MUPB,MC
JMC-415-01,MUPB,MC
JMC-441-01,MUPB,MC
JMC-442-01,MUPB,MC
JMC-470-01,MUPB,MC
JMC-482-01,MUPB,MC
JMC-483-01,,OL
JMC-499-01,,MC
JMC-500-71L01,,SBUOL
JMC-501-71L01,,SBUOL
JMC-502-72L01,,SBUOL
JMC-503-71L01,,SBUOL
JMC-504-72L01,,SBUOL
JMC-602-71L01,,SBUOL
JMC-602-72L01,,SBUOL
JMC-604-71L01,,SBUOL
JMC-605-72L01,,SBUOL
JMC-701-71L01,,SBUOL
JMC-702-72L01,,SBUOL
JMC-703-71L01,,SBUOL
LAT-102-01,PLAS,MC
LAT-202-01,PLAS,MC
LEAD-620-72L01,,SBUOL
LEAD-631-72L01,,SBUOL
LEAD-640-71L01,,SBUOL
LEAD-655-72L01,,SBUOL
LEAD-660-72L01,,SBUOL
MATH-107-01,DELA,MC
MATH-107-02,DELA,MC
MATH-107-03,DELA,MC
MATH-107-04,DELA,MC
MATH-112-01,DELA,MC
MATH-112-02,DELA,MC
MATH-122-01,DELA,MC
MATH-135-01,DELA,MC
MATH-145-01,DELA,MC
MATH-145-02,DELA,MC
MATH-151-01,DELA,MC
MATH-151-02,DELA,MC
MATH-152-01,DELA,MC
MATH-207-01,DELA,MC
MATH-211-01,DELA,MC
MATH-241-01,DELA,MC
MATH-252-01,DELA,MC
MATH-492-01,,MC
MBA-515F-71L01,,SBUOL
MBA-516F-72L01,,SBUOL
MBA-610-F1F01,SWAN,MC
MBA-610-F1F02,SWAN,MC
MBA-611-72L01,,SBUOL
MBA-612-71L01,,SBUOL
MBA-612-F1F01,SWAN,MC
MBA-613-72L01,,SBUOL
MBA-613-F1F01,SWAN,MC
MBA-613-F1F02,SWAN,MC
MBA-621-72L01,,SBUOL
MBA-623-71L01,,OL
MBA-628-72L01,,SBUOL
MBA-629-71F01,SWAN,MC
MBA-630-F1F01,SWAN,MC
MBA-634-71L01,,SBUOL
MBA-635-72F01,SWAN,MC
MBA-638-F1F01,SWAN,MC
MBA-639-71L01,,SBUOL
MBA-644-72L01,,SBUOL
MBA-645-F1L01,,OL
MBA-649-72L01,,SBUOL
MBA-649-F1F01,SWAN,MC
MBA-649-F1F02,SWAN,MC
MBA-650-F1F01,PLAS,MC
MBA-696FE-F1F01,SWAN,MC
MBA-696FS-F1F01,SWAN,MC
MBA-696W-F1F01,SWAN,MC
MEP-500-01,,OL
MEP-510-01,FRHA,MC
MEP-511-01,FRHA,MC
MEP-515-01,FRHA,MC
MEP-610-01,FRHA,MC
MEP-612-01,,OL
MEP-614-01,FRHA,MC
MGT-301-01,SWAN,MC
MGT-301-02,SWAN,MC
MGT-301-03,SWAN,MC
MGT-306-01,SWAN,MC
MGT-306-02,SWAN,MC
MGT-306-03,SWAN,MC
MGT-322-01,,OL
MGT-329-01,SWAN,MC
MGT-329-02,SWAN,MC
MGT-401-01,SWAN,MC
MGT-413-01,PLAS,MC
MGT-413-02,SWAN,MC
MGT-413-03,SWAN,MC
MGT-413-04,PLAS,MC
MGT-430-01,SWAN,MC
MGT-431-01,SWAN,MC
MKT-301-01,SWAN,MC
MKT-301-02,SWAN,MC
MKT-301-03,SWAN,MC
MKT-302-01,SWAN,MC
MKT-302-02,SWAN,MC
MKT-303-01,,OL
MKT-303-02,,OL
MKT-306-01,PLAS,MC
MKT-306-02,PLAS,MC
MKT-311-01,MUPB,MC
MKT-405-01,PLAS,MC
MKT-410-01,PLAS,MC
MKT-410-02,SWAN,MC
MKT-499FS-01,SWAN,MC
MPH-540-01,FRHA,MC
MPH-541-01,FRHA,MC
MPH-542-01,FRHA,MC
MPH-551-01,FRHA,MC
MS-102-01,MUPB,MC
MS-102-02,PLAS,MC
MS-102L-01,DOHA,MC
MS-202-01,PLAS,MC
MS-202-02,PLAS,MC
MS-202L-01,DOHA,MC
MS-301-55,,MC
MS-301L-55,,MC
MS-302-01,PLAS,MC
MS-302L-01,DOHA,MC
MS-402-01,DOHA,MC
MS-402L-01,DOHA,MC
MSA-601-72L01,,SBUOL
MSA-613-71L01,,SBUOL
MSA-645-72L01,,SBUOL
MU-101-01,RQAC,MC
MU-102-01,RQAC,MC
MU-103-01,RQAC,MC
MU-104-01,RQAC,MC
MU-105-01,RQAC,MC
MU-105-02,RQAC,MC
MU-105-03,RQAC,MC
MU-105-04,RQAC,MC
MU-121-01,RQAC,MC
MU-316-01,RQAC,MC
MU-399K-01,RQAC,MC
MU-431-01,RQAC,MC
NAIS-111-01,PLAS,MC
NUR-401-01,,OL
NUR-497-55,,MC
OT-560A-01,FRHA,MC
OT-570-01,FRHA,MC
OT-580-01,FRHA,MC
OT-590-01,FRHA,MC
OT-600-01,FRHA,MC
OT-615-01,FRHA,MC
OT-710-01,,MC
OT-720-01,,MC
PA-500-01,FRHA,MC
PA-501-01,FRHA,MC
PA-504-01,FRHA,MC
PA-507-01,FRHA,MC
PA-510-01,FRHA,MC
PA-513-01,FRHA,MC
PA-600-01,FRHA,MC
PA-601-01,,MC
PA-602-01,,MC
PA-603-01,,MC
PA-604-01,,MC
PA-605-01,,MC
PA-606-01,,MC
PA-607-01,,MC
PA-608-01,,MC
PA-609-01,,MC
PA-610-01,,MC
PA-612-01,,MC
PA-613-01,FRHA,MC
PHB-102-01,FRHA,MC
PHB-201-55,,MC
PHB-202-01,FRHA,MC
PHB-301-01,FRHA,MC
PHED-110-01,BUTL,MC
PHED-111-01,BUTL,MC
PHED-111-02,BUTL,MC
PHED-208-01,RECE,MC
PHED-308C-01,RECE,MC
PHED-310-01,RECE,MC
PHED-313-01,RECE,MC
PHED-315-01,PLAS,MC
PHED-403-01,RECE,MC
PHED-408-01,BUTL,MC
PHED-413D-55,,
PHED-413E-01,BUTL,MC
PHED-415-01,SWAN,MC
PHED-490-01,,MC
PHED-491-01,,MC
PHED-493-01,BUTL,MC
PHED-493-55,,MC
PHIL-102-01,PLAS,MC
PHIL-102-02,PLAS,MC
PHIL-102-03,PLAS,MC
PHIL-102-04,PLAS,MC
